dt_issue_date,violation_description,tickets_issued
2024-09-10,PARKED BUS-EXC. DESIG. AREA,9
2024-10-20,EXPIRED METER-COMM METER ZONE,1242
2023-08-09,FAIL TO DSPLY MUNI METER RECPT,5250
2023-07-24,FRONT OR BACK PLATE MISSING,777
2023-12-08,NO MATCH-PLATE/STICKER,43
2023-08-30,NO STANDING-EXC. TRUCK LOADING,974
2024-02-04,NO MATCH-PLATE/STICKER,29
2023-08-20,MOBILE BUS LANE VIOLATION,193
2023-07-21,NO PARKING-STREET CLEANING,10165
2024-06-11,CROSSWALK,356
2025-02-04,NO STANDING-FOR HIRE VEH STND,9
2024-06-06,OTHER,13
2025-07-19,DOUBLE PARKING-MIDTOWN COMML,83
2024-09-02,DIVIDED HIGHWAY,1
2025-01-12,NO STANDING-EXC. AUTH. VEHICLE,108
2024-03-23,OBSTRUCTING DRIVEWAY,103
2024-01-13,DOUBLE PARKING,707
2025-03-12,OTHER,25
2024-12-23,PLTFRM LFTS LWRD POS COMM VEH,164
2024-02-03,NO STANDING-COMMUTER VAN STOP,1
2025-05-28,DOUBLE PARKING,1214
2025-04-30,FAIL TO DSPLY MUNI METER RECPT,4920
2023-04-26,FIRE HYDRANT,1
2023-07-28,NO STANDING-TAXI STAND,39
2024-03-26,DETACHED TRAILER,110
2025-04-08,PCKP DSCHRGE IN PRHBTD ZONE,2
2025-01-04,OTHER,6
2023-06-30,PHTO SCHOOL ZN SPEED VIOLATION,18568
2025-06-10,NO STANDING-FOR HIRE VEH STND,9
2024-10-24,EXPIRED MUNI MTR-COMM MTR ZN,167
2024-04-30,STORAGE-3HR COMMERCIAL,43
2025-02-16,SIDEWALK,40
2023-11-01,NGHT PKG ON RESID STR-COMM VEH,173
2025-06-13,NO STANDING-COMM METER ZONE,931
2024-06-01,NO STANDING-DAY/TIME LIMITS,1436
2023-10-31,MISCELLANEOUS,8
2025-01-13,MISUSE PARKING PERMIT,14
2026-09-19,FIRE HYDRANT,1
2023-08-14,NO MATCH-PLATE/STICKER,64
2024-02-29,FAILURE TO STOP AT RED LIGHT,1683
2025-04-06,NON-COMPLIANCE W/ POSTED SIGN,22
2023-08-26,BEYOND MARKED SPACE,12
2024-11-02,FRONT OR BACK PLATE MISSING,586
2024-08-28,IMPROPER REGISTRATION,20
2024-03-08,NO STANDING-COMM METER ZONE,1023
2024-09-29,MISCELLANEOUS,6
2024-07-30,DETACHED TRAILER,93
2025-05-10,NO STANDING-OFF-STREET LOT,1880
2024-12-29,COMML PLATES-UNALTERED VEHICLE,6
2025-02-03,NO PARKING-DAY/TIME LIMITS,1655
2025-07-01,FAILURE TO STOP AT RED LIGHT,1531
2025-04-02,SELLING/OFFERING MCHNDSE-METER,4
2024-05-13,NO STD(EXC TRKS/GMTDST NO-TRK),1
2023-10-10,REG STICKER-MUTILATED/C'FEIT,18
2025-07-23,NO STANDING-HOTEL LOADING,19
2023-11-18,PLTFRM LFTS LWRD POS COMM VEH,162
2023-12-11,BEYOND MARKED SPACE,12
2023-09-08,SELLING/OFFERING MCHNDSE-METER,2
2024-03-15,NO STANDING-EXC. AUTH. VEHICLE,428
2024-09-18,REG. STICKER-EXPIRED/MISSING,1485
2024-08-06,REG. STICKER-EXPIRED/MISSING,1226
2024-10-02,PARKED BUS-EXC. DESIG. AREA,21
2024-03-18,FRONT OR BACK PLATE MISSING,745
2023-08-17,NO STANDING-EXC. TRUCK LOADING,907
2024-09-22,OBSTRUCTING DRIVEWAY,105
2023-12-28,NO STANDING-DAY/TIME LIMITS,1242
2024-01-22,STORAGE-3HR COMMERCIAL,12
2025-02-11,PHTO SCHOOL ZN SPEED VIOLATION,8074
2023-10-11,REG STICKER-MUTILATED/C'FEIT,26
2024-09-03,BLUE ZONE,3
2024-11-29,BLUE ZONE,1
2023-08-03,NO STANDING-TAXI STAND,51
2022-08-24,NO STANDING-BUS STOP,1
2023-11-15,PLTFRM LFTS LWRD POS COMM VEH,363
2024-08-07,TRAFFIC LANE,21
2024-01-22,FAIL TO DSPLY MUNI METER RECPT,4056
2024-11-10,FRAUDULENT USE PARKING PERMIT,7
2024-11-10,SIDEWALK,57
2024-03-02,FAILURE TO STOP AT RED LIGHT,1244
2024-12-18,BLUE ZONE,2
2024-03-15,VIN OBSCURED,117
2024-08-27,MISCELLANEOUS,13
2025-05-04,NO STANDING-COMMUTER VAN STOP,6
2024-12-07,NIGHTTIME STD/ PKG IN A PARK,2
2013-08-05,FIRE HYDRANT,1
2023-06-24,NO STANDING-EXC. TRUCK LOADING,1
2023-11-12,NO STANDING-COMM METER ZONE,1
2023-08-27,NO STANDING-EXC. TRUCK LOADING,195
2025-03-22,REG STICKER-MUTILATED/C'FEIT,11
2023-02-05,INSP. STICKER-EXPIRED/MISSING,1
2025-07-23,DOUBLE PARKING-MIDTOWN COMML,246
2024-07-22,MISCELLANEOUS,11
2025-01-14,FAIL TO DSPLY MUNI METER RECPT,3716
2026-06-24,MISCELLANEOUS,1
2024-06-08,PLTFRM LFTS LWRD POS COMM VEH,160
2023-03-06,DOUBLE PARKING,1
2023-11-18,FRAUDULENT USE PARKING PERMIT,7
2023-12-29,NO STANDING-HOTEL LOADING,11
2023-08-15,NO PARKING-EXC. DSBLTY PERMIT,9
2025-07-28,ANGLE PARKING-COMM VEHICLE,1
2023-07-24,NO STANDING-COMM METER ZONE,929
2024-04-18,NO STANDING-COMM METER ZONE,775
2024-01-07,NO STANDING-HOTEL LOADING,9
2023-12-23,OBSTRUCTING DRIVEWAY,130
2024-04-06,NO STANDING-BUS STOP,154
2023-10-22,SIDEWALK,56
2023-05-07,FIRE HYDRANT,2
2024-08-09,UNAUTHORIZED PASSENGER PICK-UP,1
2025-03-25,CROSSWALK,363
2023-12-12,SAFETY ZONE,99
2023-11-13,NO STD(EXC TRKS/GMTDST NO-TRK),1
2025-02-12,NO PARKING-EXC. AUTH. VEHICLE,5
2024-08-11,SIDEWALK,82
2024-08-31,REG STICKER-MUTILATED/C'FEIT,6
2024-06-30,REG STICKER-MUTILATED/C'FEIT,2
2024-10-05,INSP. STICKER-EXPIRED/MISSING,1702
2023-11-06,NON-COMPLIANCE W/ POSTED SIGN,88
2024-05-12,FAILURE TO STOP AT RED LIGHT,2303
2024-11-12,NO STD(EXC TRKS/GMTDST NO-TRK),4
2024-07-24,NO PARKING-DAY/TIME LIMITS,2361
2025-06-30,BLUE ZONE,18
2023-09-25,FRAUDULENT USE PARKING PERMIT,5
2027-11-29,NO STANDING-BUS STOP,1
2024-11-20,PHTO SCHOOL ZN SPEED VIOLATION,11065
2024-04-27,NO STANDING-EXC. AUTH. VEHICLE,135
2023-06-28,NO STANDING EXCP D/S,14
2024-04-15,IMPROPER REGISTRATION,26
2025-02-14,MISUSE PARKING PERMIT,20
2025-02-20,NO STANDING-EXC. TRUCK LOADING,766
2024-06-07,COMML PLATES-UNALTERED VEHICLE,79
2023-07-21,PARKED BUS-EXC. DESIG. AREA,11
2024-04-11,NO PARKING-STREET CLEANING,70
2025-04-09,NO STANDING-COMMUTER VAN STOP,3
2023-09-14,NO STANDING-EXC. AUTH. VEHICLE,494
2025-04-06,NO PARKING-DAY/TIME LIMITS,723
2024-11-07,BUS LANE VIOLATION,2865
2024-10-20,TRAFFIC LANE,4
2023-10-16,MISCELLANEOUS,3
2024-09-27,BUS PARKING IN LOWER MANHATTAN,2
2024-01-17,FIRE HYDRANT,1611
2024-08-12,FAIL TO DISP. MUNI METER RECPT,848
2024-11-12,PARKED BUS-EXC. DESIG. AREA,18
2024-04-29,DOUBLE PARKING-MIDTOWN COMML,225
2024-07-17,NO PARKING-DAY/TIME LIMITS,2521
2025-04-09,EXPIRED MUNI METER,1158
2023-11-06,MISSING EQUIPMENT,22
2025-02-13,REG STICKER-MUTILATED/C'FEIT,8
2024-12-05,EXCAVATION-VEHICLE OBSTR TRAFF,1
2024-05-15,NON-COMPLIANCE W/ POSTED SIGN,86
2024-03-01,BEYOND MARKED SPACE,3
2023-11-30,NO STANDING-BUS LANE,78
2023-11-17,BEYOND MARKED SPACE,13
2023-09-01,NO PARKING-STREET CLEANING,9575
2025-03-15,NO STANDING-BUS LANE,28
2023-07-04,NO STANDING-TAXI STAND,12
2023-11-15,FAIL TO DISP. MUNI METER RECPT,1149
2023-10-22,MISCELLANEOUS,13
2023-11-15,FAILURE TO STOP AT RED LIGHT,1723
2024-09-17,SELLING/OFFERING MCHNDSE-METER,7
2024-03-15,DOUBLE PARKING,1216
2024-01-22,NO PARKING-DAY/TIME LIMITS,1922
2025-06-17,NGHT PKG ON RESID STR-COMM VEH,159
2031-10-30,OBSTRUCTING DRIVEWAY,1
2025-05-16,NO STANDING-COMM METER ZONE,852
2024-01-28,OVERTIME PKG-TIME LIMIT POSTED,2
2024-12-06,OVERTIME PKG-TIME LIMIT POSTED,3
2025-03-15,MISUSE PARKING PERMIT,17
2025-05-23,DOUBLE PARKING,935
2025-04-27,ANGLE PARKING,6
2023-11-06,FIRE HYDRANT,1852
2025-04-22,DOUBLE PARKING-MIDTOWN COMML,388
2023-07-12,IMPROPER REGISTRATION,19
2025-07-14,NO STOPPING-DAY/TIME LIMITS,171
2025-07-17,REG STICKER-MUTILATED/C'FEIT,11
2023-11-07,SAFETY ZONE,93
2024-09-25,OVERTIME STDG D/S,1
2024-05-25,BUS LANE VIOLATION,1209
2024-11-19,PEDESTRIAN RAMP,37
2023-09-25,INSP STICKER-MUTILATED/C'FEIT,11
2025-04-28,NO STOPPING-DAY/TIME LIMITS,250
2025-07-07,BEYOND MARKED SPACE,9
2024-06-18,REG. STICKER-EXPIRED/MISSING,1558
2024-07-24,OTHER,15
2024-03-19,SELLING/OFFERING MCHNDSE-METER,4
2024-11-26,BUS LANE VIOLATION,2927
2024-04-03,SELLING/OFFERING MCHNDSE-METER,2
2024-02-06,NO STANDING-COMMUTER VAN STOP,1
2024-07-26,OVERTIME PKG-TIME LIMIT POSTED,3
2023-12-16,DETACHED TRAILER,51
2025-01-24,BLUE ZONE,7
2024-09-02,BEYOND MARKED SPACE,4
2024-11-24,NO STANDING-BUS STOP,452
2024-05-25,VIN OBSCURED,132
2025-05-18,NO STANDING-BUS LANE,5
2024-04-06,NO STANDING-COMM METER ZONE,145
2025-02-14,UNAUTHORIZED BUS LAYOVER,1
2025-05-21,NO PARKING-DAY/TIME LIMITS,1910
2024-04-18,INTERSECTION,8
2023-11-19,PHTO SCHOOL ZN SPEED VIOLATION,20834
2024-04-27,MISUSE PARKING PERMIT,6
2023-06-29,BEYOND MARKED SPACE,10
2024-11-17,PARKED BUS-EXC. DESIG. AREA,7
2025-02-12,NO STANDING-BUS LANE,131
2025-04-06,FAILURE TO STOP AT RED LIGHT,1530
2024-07-15,FAIL TO DISP. MUNI METER RECPT,790
2024-07-30,OVERNIGHT TRACTOR TRAILER PKG,12
2024-07-16,OBSTRUCTING DRIVEWAY,155
2024-04-06,NGHT PKG ON RESID STR-COMM VEH,146
2024-12-29,PCKP DSCHRGE IN PRHBTD ZONE,11
2024-10-28,FRAUDULENT USE PARKING PERMIT,43
2024-08-06,SAFETY ZONE,136
2023-09-20,MOBILE BUS LANE VIOLATION,740
2024-10-26,NO STANDING-EXC. TRUCK LOADING,518
2024-03-26,CROSSWALK,345
2025-02-12,NO STANDING-FOR HIRE VEH STND,15
2024-01-21,PARKED BUS-EXC. DESIG. AREA,3
2024-04-16,NO STANDING-EXC. AUTH. VEHICLE,391
2025-04-15,MISSING EQUIPMENT,23
2024-05-20,FIRE HYDRANT,1942
2025-07-11,MISSING EQUIPMENT,13
2024-06-01,PARKED BUS-EXC. DESIG. AREA,14
2024-08-29,INSP STICKER-MUTILATED/C'FEIT,40
2024-12-16,DETACHED TRAILER,118
2025-07-07,SAFETY ZONE,110
2025-03-14,NO MATCH-PLATE/STICKER,66
2025-03-17,NO STANDING-EXC. AUTH. VEHICLE,252
2023-07-26,BIKE LANE,244
2024-11-28,INTERSECTION,1
2024-10-15,DIVIDED HIGHWAY,2
2024-01-03,NO PARKING-EXC. DSBLTY PERMIT,12
2025-01-05,PCKP DSCHRGE IN PRHBTD ZONE,4
2023-06-03,MISCELLANEOUS,1
2023-10-25,PARKED BUS-EXC. DESIG. AREA,22
2024-05-22,FAIL TO DISP. MUNI METER RECPT,1045
2025-07-06,UNAUTHORIZED PASSENGER PICK-UP,2
2024-04-05,MISUSE PARKING PERMIT,24
2024-01-24,INTERSECTION,4
2025-06-19,OBSTRUCTING TRAFFIC/INTERSECT,1
2023-09-09,SIDEWALK,84
2024-04-01,SIDEWALK,163
2023-07-03,NO STANDING EXCP D/S,20
2024-10-15,NO STANDING-COMMUTER VAN STOP,7
2025-07-25,NO MATCH-PLATE/STICKER,31
2024-03-22,NO STAND TAXI/FHV RELIEF STAND,16
2025-07-02,OBSTRUCTING DRIVEWAY,101
2025-04-23,MISCELLANEOUS,8
2023-08-03,DIVIDED HIGHWAY,4
2025-08-25,FIRE HYDRANT,1
2023-06-14,FAIL TO DSPLY MUNI METER RECPT,7
2023-11-30,NO PARKING-EXC. DSBLTY PERMIT,9
2025-03-14,NO STANDING EXCP D/S,9
2025-06-25,ANGLE PARKING-COMM VEHICLE,1
2023-10-12,MOBILE BUS LANE VIOLATION,510
2024-09-17,NO PARKING-DAY/TIME LIMITS,2503
2023-11-05,VIN OBSCURED,1
2024-11-04,OBSTRUCTING DRIVEWAY,151
2025-04-14,BUS PARKING IN LOWER MANHATTAN,4
2023-10-31,FAIL TO DSPLY MUNI METER RECPT,3136
2023-11-19,DOUBLE PARKING,572
2024-08-01,CROSSWALK,256
2024-03-14,OBSTRUCTING DRIVEWAY,127
2024-09-18,NO STANDING-TAXI STAND,63
2024-02-07,FAILURE TO STOP AT RED LIGHT,1577
2024-03-03,VIN OBSCURED,11
2024-05-15,MISCELLANEOUS,9
2024-07-01,NO STAND TAXI/FHV RELIEF STAND,16
2025-04-29,REMOVE/REPLACE FLAT TIRE,1
2024-04-22,MISUSE PARKING PERMIT,10
2025-01-30,BUS LANE VIOLATION,1606
2023-07-02,VEHICLE FOR SALE(DEALERS ONLY),1
2023-06-30,VIN OBSCURED,14
2024-04-15,NO PARKING-DAY/TIME LIMITS,1962
2024-09-12,REG. STICKER-EXPIRED/MISSING,1442
2023-06-19,PHTO SCHOOL ZN SPEED VIOLATION,1
2024-08-17,REG STICKER-MUTILATED/C'FEIT,18
2024-04-30,NO STANDING-BUS STOP,901
2024-10-21,IMPROPER REGISTRATION,24
2025-03-15,NO STOPPING-DAY/TIME LIMITS,113
2024-01-01,ANGLE PARKING,1
2024-06-25,NO STANDING-BUS LANE,162
2023-12-15,INSP. STICKER-EXPIRED/MISSING,1270
2025-01-16,NO PARKING-EXC. DSBLTY PERMIT,4
2024-10-19,OTHER,9
2025-01-14,OVERNIGHT TRACTOR TRAILER PKG,11
2023-07-06,ANGLE PARKING,5
2025-01-02,FAILURE TO STOP AT RED LIGHT,1202
2024-07-05,SAFETY ZONE,72
2025-02-13,DIVIDED HIGHWAY,3
2023-10-03,OBSTRUCTING TRAFFIC/INTERSECT,1
2023-09-20,NO STANDING-BUS STOP,558
2025-05-18,NO STANDING-EXC. AUTH. VEHICLE,160
2024-08-20,NO STANDING-EXC. AUTH. VEHICLE,253
2024-02-01,BLUE ZONE,11
2024-12-22,MOBILE BUS LANE VIOLATION,565
2025-07-07,CROSSWALK,206
2024-07-11,NO STANDING EXCP D/S,9
2024-06-05,NO STD(EXC TRKS/GMTDST NO-TRK),4
2024-09-09,INSP. STICKER-EXPIRED/MISSING,2100
2024-09-09,MISUSE PARKING PERMIT,24
2024-05-31,NO STANDING-HOTEL LOADING,21
2023-11-18,INSP STICKER-MUTILATED/C'FEIT,37
2023-07-08,NO STANDING-EXC. AUTH. VEHICLE,171
2024-09-30,NO STAND TAXI/FHV RELIEF STAND,18
2027-04-16,FIRE HYDRANT,1
2023-08-21,PARKED BUS-EXC. DESIG. AREA,6
2025-05-24,INTERSECTION,8
2024-11-11,REG. STICKER-EXPIRED/MISSING,984
2024-06-14,NO PARKING-DAY/TIME LIMITS,2233
2024-08-21,IMPROPER REGISTRATION,32
2025-03-30,FRONT OR BACK PLATE MISSING,199
2025-05-01,DETACHED TRAILER,75
2025-07-16,OTHER,7
2023-10-24,NO STANDING EXCP D/S,13
2025-07-22,REG. STICKER-EXPIRED/MISSING,1089
2024-12-23,INTERSECTION,6
2025-04-04,NO PARKING-DAY/TIME LIMITS,1889
2025-02-11,FAILURE TO STOP AT RED LIGHT,1184
2025-03-31,EXCAVATION-VEHICLE OBSTR TRAFF,1
2024-12-28,BIKE LANE,39
2023-06-10,NON-COMPLIANCE W/ POSTED SIGN,8
2023-09-06,PHTO SCHOOL ZN SPEED VIOLATION,17050
2024-11-23,NO STANDING-BUS STOP,535
2025-07-26,NO STANDING-BUS LANE,27
2024-08-12,NO STANDING-COMMUTER VAN STOP,5
2027-07-02,FIRE HYDRANT,1
2024-08-10,NO STANDING-TAXI STAND,30
2023-07-12,NO MATCH-PLATE/STICKER,59
2024-07-21,NO STANDING-TAXI STAND,53
2024-06-22,FRONT OR BACK PLATE MISSING,624
2025-04-04,NO STOPPING-DAY/TIME LIMITS,233
2024-12-11,UNAUTHORIZED BUS LAYOVER,3
2024-11-17,NO STANDING-EXC. AUTH. VEHICLE,234
2024-09-13,NO STANDING-COMM METER ZONE,1043
2024-04-13,FRAUDULENT USE PARKING PERMIT,8
2024-12-24,ANGLE PARKING,4
2023-01-01,NO STANDING-DAY/TIME LIMITS,2
2024-09-14,REG. STICKER-EXPIRED/MISSING,1028
2024-03-13,BUS LANE VIOLATION,2648
2023-09-08,EXPIRED MUNI MTR-COMM MTR ZN,83
2026-03-11,OBSTRUCTING DRIVEWAY,1
2024-10-22,NO STANDING EXCP D/S,30
2024-07-12,NO STANDING-EXC. AUTH. VEHICLE,270
2024-12-19,EXPIRED MUNI METER,483
2025-05-28,NO STOPPING-DAY/TIME LIMITS,262
2024-10-26,BUS PARKING IN LOWER MANHATTAN,3
2024-12-04,NO STANDING EXCP D/S,15
2024-06-09,ANGLE PARKING,9
2024-04-22,REG STICKER-MUTILATED/C'FEIT,13
2024-03-08,NO STANDING-HOTEL LOADING,20
2023-12-15,NO PARKING-STREET CLEANING,7002
2025-11-08,NO PARKING-STREET CLEANING,1
2023-06-19,FRONT OR BACK PLATE MISSING,27
2024-02-21,NO STANDING-EXC. AUTH. VEHICLE,274
2024-04-11,NO STANDING EXCP D/S,21
2025-02-05,OBSTRUCTING DRIVEWAY,151
2024-10-10,OBSTRUCTING DRIVEWAY,161
2024-07-03,NO STD(EXC TRKS/GMTDST NO-TRK),8
2024-04-23,EXPIRED MUNI METER,1282
2024-04-19,SIDEWALK,148
2025-02-16,REG. STICKER-EXPIRED/MISSING,363
2024-05-01,FRONT OR BACK PLATE MISSING,868
2024-09-06,DETACHED TRAILER,79
2000-10-18,CROSSWALK,1
2024-01-13,FRAUDULENT USE PARKING PERMIT,8
